Club Name,Address,City,State,Zip Code,Zone,Splashball
Trojan Water Polo (Ca),2004 The Strand, Manhattan Beach, California,90266,Coastal California Zone,TRUE
Tualatin Hills Water Polo Club,15707 SW Walker Rd, Beaverton, Oregon,97006,Pacific Northwest & Hawaii Zone,FALSE
Tucson Water Polo Club,PO Box 12549, Tucson, Arizona,85732,Mountain Zone,TRUE
Tugboat Water Polo Federation,501 Danville Boulvard, Danville, California,94526,Pacific Zone,FALSE
Tulare Water Polo Club,"Tulare Union Pool, 755 E. Tulare Ave", Tulare, California,93274,Central California Zone,FALSE
Turul Water Polo Academy,1500 Meadow Grove St, Modesto, California,95355,Central California Zone,FALSE
Tustin-Irvine Patriot Aquatics,"Beckman High School, 3588 Bryan Ave", Irvine, California,92602,Southern Pacific Zone,TRUE
UCO Water Polo,936 E 1600 N, Mapleton, Utah,84664,Mountain Zone,FALSE
Ukiah Krakens Aquatics Club,,,,,Pacific Zone,TRUE
United LA,,,,,Coastal California Zone,FALSE
USA Water Polo College Alumni,"USA Water Polo National Headquarters, 6 Morgan, Suite 150", Irvine, California,92618,Southern Pacific Zone,FALSE
Utah East Side,3441 Wasatch Blvd, Salt Lake City, Utah,84109,Mountain Zone,TRUE
Valle Unita Water Polo Club,769 Summerwood Avenue, Walnut, California,91789,Coastal California Zone,TRUE
Vanguard Aquatics,1905 Main St, Huntington Beach, California,92648,Southern Pacific Zone,TRUE
VC Premier,"V C Premier Water Polo Club, 1765 Royal Ave", Simi Valley, California,93065,Coastal California Zone,TRUE
Viking Aquatics,4901 E Carson St., Long Beach, California,90808,Coastal California Zone,TRUE
Villa Park,18042 Taft Ave., Villa Park, California,92861,Southern Pacific Zone,FALSE
Vine Water Polo Club Inc.,2426 Christie Ct., Napa, California,94558,Central California Zone,TRUE
Virginia Beach High School Water Polo,4400 Virginia Beach Blvd, Virginia Beach, Virginia,23462,Northeast Zone,FALSE
Visalia United Water Polo Club,"Redwood High School Pool, 1001 W Main St", Visalia, California,93291,Central California Zone,TRUE
Wasatch Water Polo,"Wasatch Aquatic Center, 744 South 200 East", Heber City, Utah,84032,Mountain Zone,FALSE
Washington DSeahorses,4551 Fort Drive NW, Washington, District of Columbia,20016,Northeast Zone,FALSE
Washington Wolfpack Water Polo,9240 31st Ave SW,Seattle, Washington,98126,Pacific Northwest & Hawaii Zone,FALSE
Water Polo Shooting Academy,,,,,Southern Pacific Zone,FALSE
Water-People of Newport Beach,,,,,Southern Pacific Zone,FALSE
Waves Water Polo Foundation,"Pepperdine University, 24255 Pacific Coast Hwy", Malibu, California,90263,Coastal California Zone,TRUE
WCAC Maverick Water Polo,"Wissahickon High School, 521 Houston Road", Ambler, Pennsylvania,19002,Northeast Zone,FALSE
West Hollywood Aquatics,P.O. Box 691651, West Hollywood, California,90069,Coastal California Zone,FALSE
West Houston Water Polo,10404 Tiger Trail, Houston, Texas,77043,Southwest Zone,FALSE
West Suburban Water Polo Club,45 W. Bailey Road, Naperville, Illinois,60565,Midwest Zone,FALSE
West Valley Water Polo,201 Ada Ave. Apt 3, Mountain View, California,94043,Pacific Zone,TRUE
Western Club,14201 Huston street, Van Nuys, California,91423,Coastal California Zone,TRUE
Westside Aquatics,"Palisades High School, 15777 Bowdoin St", Pacific Palisades, California,90272,Coastal California Zone,TRUE
Whitman Vikings WP Club,5708 Tanglewood Drive, Bethesda,Maryland,20817,Northeast Zone,FALSE
Wildkit Water Polo Club,"Evanston Township High School, 1600 Dodge Ave", Evanston, Illinois,60201,Midwest Zone,FALSE
Willamette Valley Water Polo,4742 Liberty Rd S #277, Salem, Oregon,97302,Pacific Northwest & Hawaii Zone,TRUE
Wilson Aquatic Club,,,,,Northeast Zone,TRUE
Windansea Water Polo,800 Nautilus Street, La Jolla, California,92037,Pacific Southwest Zone,FALSE
Windward Water Polo Club,917 Kalanianaʻole Hwy, Kailua,Hawaii,96734,Pacific Northwest & Hawaii Zone,TRUE
Wolverine Water Polo,512 Berkley Ave, Ann Arbor, Michigan,48103,Midwest Zone,TRUE
Women's National Team,"6 Morgan, Suite 150", Irvine, California,92618,Southern Pacific Zone,FALSE
WVC Vikings Water Polo Club,14000 Fruitvale Ave, Saratoga, California,95070,International Zone,FALSE
Y Pro Water Polo,1968 79 Street, Brooklyn, New York,11214,Northeast Zone,TRUE
Yeti Water Polo Club,13135 Nason St., Moreno Valley, California,92555,Southern Pacific Zone,TRUE
Youngwood Aquatics,15301 Youngwood Dr., Whitter, California,90605,Coastal California Zone,FALSE
Zilla Water Polo,7001 Rain Creek Pkwy, Austin, Texas,78759,Southwest Zone,FALSE
Princeton Tigers Aquatic Club,47 Faculty Rd,Princeton,New Jersey,8540,Northeast Zone,TRUE
